unix_ts,type,longitude,latitude,message
1582072147,Accident,103.7523852,1.389086351,(19/2)8:22 Accident on KJE (towards PIE) after Woodlands Rd Exit.
1582072147,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582072147,Vehicle breakdown,103.7739279,1.396015867,(19/2)7:55 Vehicle breakdown on BKE (towards PIE) before KJE Exit.
1582072267,Vehicle breakdown,103.7707477,1.333207086,(19/2)8:23 Vehicle breakdown on PIE (towards Changi Airport) before Upper Bukit Timah Rd.
1582072267,Accident,103.7523852,1.389086351,(19/2)8:22 Accident on KJE (towards PIE) after Woodlands Rd Exit.
1582072267,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582072387,Vehicle breakdown,103.7707477,1.333207086,(19/2)8:23 Vehicle breakdown on PIE (towards Changi Airport) before Upper Bukit Timah Rd.
1582072387,Accident,103.7523852,1.389086351,(19/2)8:22 Accident on KJE (towards PIE) after Woodlands Rd Exit.
1582072387,Accident,103.8749249,1.315164794,(19/2)8:04 Accident on KPE (towards ECP) at PIE Entrance.
1582072507,Vehicle breakdown,103.7707477,1.333207086,(19/2)8:23 Vehicle breakdown on PIE (towards Changi Airport) before Upper Bukit Timah Rd.
1582072627,Vehicle breakdown,103.7707477,1.333207086,(19/2)8:23 Vehicle breakdown on PIE (towards Changi Airport) before Upper Bukit Timah Rd.
1582072747,Vehicle breakdown,103.7707477,1.333207086,(19/2)8:23 Vehicle breakdown on PIE (towards Changi Airport) before Upper Bukit Timah Rd.
1582072867,Vehicle breakdown,103.7707477,1.333207086,(19/2)8:23 Vehicle breakdown on PIE (towards Changi Airport) before Upper Bukit Timah Rd.
1582072987,Vehicle breakdown,103.7707477,1.333207086,(19/2)8:23 Vehicle breakdown on PIE (towards Changi Airport) before Upper Bukit Timah Rd.
1582073107,Vehicle breakdown,103.7523892,1.38915199,(19/2)8:42 Vehicle breakdown on KJE (towards BKE) after Woodlands Rd Exit. Avoid lane 4.
1582073107,Vehicle breakdown,103.7707477,1.333207086,(19/2)8:23 Vehicle breakdown on PIE (towards Changi Airport) before Upper Bukit Timah Rd.
